age,unit,data
0.44898186393603323,CSICU,GAN
0.4054956431600739,CTICU,GAN
0.4535080953361599,Cardiac ICU,GAN
0.40631852026129844,CTICU,GAN
0.7841919156952689,CSICU,GAN
0.5289350714290254,Cardiac ICU,GAN
0.7345569413056855,CSICU,GAN
0.688617640789964,Cardiac ICU,GAN
1.0,CTICU,GAN
0.3741128546008362,Cardiac ICU,GAN
0.6532507172416876,CSICU,GAN
0.39889503997824605,Cardiac ICU,GAN
0.0985341928029908,Cardiac ICU,GAN
0.5020180670532384,CSICU,GAN
0.6428902159137362,Cardiac ICU,GAN
0.42543968615545374,Cardiac ICU,GAN
0.6534198590410939,CSICU,GAN
0.5113885280764467,CTICU,GAN
0.5707271958466182,CTICU,GAN
0.8648187229464745,CSICU,GAN
0.5324546228849069,Cardiac ICU,GAN
0.1723988781983859,Cardiac ICU,GAN
0.8046686270407251,CSICU,GAN
0.43280428087779993,Cardiac ICU,GAN
0.8102922854421373,CSICU,GAN
0.5316007116484789,CSICU,GAN
0.6417205233308202,CSICU,GAN
0.7403624020385313,Cardiac ICU,GAN
0.6394723186869332,Cardiac ICU,GAN
0.855142669404387,CSICU,GAN
0.7751844457540006,CSICU,GAN
0.6990903262387088,CSICU,GAN
0.2443134547265481,Cardiac ICU,GAN
0.7876651256876189,CSICU,GAN
0.8721264450495869,Cardiac ICU,GAN
0.6912150217338383,CTICU,GAN
0.4584290370516124,CTICU,GAN
0.3856235424389161,Cardiac ICU,GAN
0.40016951425726066,CSICU,GAN
0.4731267850177097,Cardiac ICU,GAN
0.3305739884291458,Cardiac ICU,GAN
0.9319814932551764,Cardiac ICU,GAN
0.6587335984213953,CSICU,GAN
0.4855664629105557,CSICU,GAN
0.6595981237349411,Cardiac ICU,GAN
0.694812046293332,CSICU,GAN
0.481045103337394,Cardiac ICU,GAN
0.5540896786491778,Cardiac ICU,GAN
0.6772120104548492,CTICU,GAN
0.7407255496549803,CTICU,GAN
0.8160791786642498,Cardiac ICU,GAN
0.05099001054655394,Cardiac ICU,GAN
0.550131093843518,CTICU,GAN
0.5782812975772804,Cardiac ICU,GAN
0.6068275585751839,CTICU,GAN
0.10291967530410825,Cardiac ICU,GAN
0.8219241721810202,Cardiac ICU,GAN
0.3650502962718055,Cardiac ICU,GAN
0.7332725300718395,CSICU,GAN
0.4600276263205462,CTICU,GAN
0.8939941356186972,Cardiac ICU,GAN
0.7038009928703961,CSICU,GAN
0.9329476062835809,CTICU,GAN
0.531819053137683,Cardiac ICU,GAN
0.5772303873512187,Cardiac ICU,GAN
0.7326558562382773,CTICU,GAN
0.06456492147699475,Cardiac ICU,GAN
0.34107088580095846,Cardiac ICU,GAN
0.5268016722198194,CSICU,GAN
0.5664695938352141,CSICU,GAN
0.6319447159455209,CSICU,GAN
0.945849694267676,CSICU,GAN
0.6074512827765768,CTICU,GAN
0.5139502923364849,Cardiac ICU,GAN
0.6860274894894296,CSICU,GAN
0.5906344258618775,Cardiac ICU,GAN
0.7046864095062322,CSICU,GAN
0.5452500147523787,CSICU,GAN
0.6436721807853417,Cardiac ICU,GAN
0.4724491964418192,CTICU,GAN
